База: 2492 слов. Под фотографию отобрано 190.

  256/593  hitchhike      нет картинки             727 c   
  257/593  holiday        нет картинки             728 c   
  258/593  homework       нет картинки             730 c   
  259/593  honeymoon      11.0 КБ q78              734 c   
  260/593  hook           18.4 КБ q78              738 c   
  261/593  horse          22.7 КБ q78              738 c   
  262/593  hospital       14.8 КБ q78              738 c   
  263/593  hotel          25.5 КБ q78              738 c   
  264/593  hour           нет картинки             740 c   
  265/593  hourglass      13.9 КБ q78              744 c   
  266/593  house          16.9 КБ q78              744 c   
  267/593  housewife      нет картинки             745 c   
  268/593  husband        нет картинки             748 c   
  269/593  ice            11.1 КБ q78              752 c   
  270/593  image          6.9 КБ q78               756 c   
  271/593  immigrant      нет картинки             757 c   
  272/593  ink            17.2 КБ q78              763 c   
  273/593  inmate         нет картинки             764 c   
  274/593  inn            23.8 КБ q78              768 c   
  275/593  innovation     нет картинки             770 c   
  276/593  interview      20.3 КБ q78              775 c   
  277/593  inventor       нет картинки             776 c   
  278/593  investor       23.7 КБ q78              780 c   
  279/593  jackal         29.5 КБ q78              785 c   
  280/593  jacket         22.7 КБ q78              785 c   
  281/593  jockey         18.9 КБ q78              789 c   
  282/593  judge          10.2 КБ q78              793 c   
  283/593  juice          13.5 КБ q78              793 c   
  284/593  jump           10.6 КБ q78              793 c   
  285/593  jungle         39.3 КБ q78              797 c   
  286/593  key            14.9 КБ q78              797 c   
  287/593  keyboard       12.4 КБ q78              797 c   
  288/593  kidney         18.3 КБ q78              802 c   
  289/593  kilt           нет картинки             804 c   
  290/593  king           17.7 КБ q78              808 c   
  291/593  kitchen        18.5 КБ q78              808 c   
  292/593  knife          8.2 КБ q78               813 c   
  293/593  knowledge      19.9 КБ q78              817 c   
  294/593  laboratory     26.8 КБ q78              821 c   
  295/593  lake           23.6 КБ q78              826 c   
  296/593  language       18.2 КБ q78              830 c   
  297/593  lantern        10.6 КБ q78              834 c   
  298/593  laptop         14.5 КБ q78              839 c   
  299/593  laser          20.6 КБ q78              843 c   
  300/593  lavender       нет картинки             844 c   
  301/593  lawn           17.0 КБ q78              849 c   
  302/593  leaf           11.6 КБ q78              854 c   
  303/593  leather        16.0 КБ q78              858 c   
  304/593  lecture        26.9 КБ q78              862 c   
  305/593  lemon          19.9 КБ q78              867 c   
  306/593  lens           18.4 КБ q78              871 c   
  307/593  leopard        26.4 КБ q78              876 c   
  308/593  lesson         нет картинки             877 c   
  309/593  lever          нет картинки             879 c   
  310/593  life           24.0 КБ q78              883 c   
  311/593  lightning      8.4 КБ q78               887 c   
  312/593  lily           14.3 КБ q78              892 c   
  313/593  liquid         10.8 КБ q78              895 c   
  314/593  liver          нет картинки             897 c   
  315/593  logic          нет картинки             898 c   
  316/593  luggage        20.6 КБ q78              899 c   
  317/593  lung           нет картинки             901 c   
  318/593  machine        18.8 КБ q78              905 c   
  319/593  maintenance    23.0 КБ q78              909 c   
  320/593  malaria        37.4 КБ q78              913 c   
  321/593  mandolin       11.2 КБ q78              917 c   
  322/593  mannequin      17.4 КБ q78              921 c   
  323/593  map            нет картинки             923 c   
  324/593  marmalade      8.9 КБ q78               928 c   
  325/593  marry          25.7 КБ q78              932 c   
  326/593  mask           26.7 КБ q78              936 c   
  327/593  mathematics    нет картинки             938 c   
  328/593  matter         нет картинки             939 c   
  329/593  medical        нет картинки             940 c   
  330/593  medication     нет картинки             942 c   
  331/593  menu           14.8 КБ q78              946 c   
  332/593  mermaid        нет картинки             947 c   
  333/593  messiah        нет картинки             949 c   
  334/593  metaphor       нет картинки             950 c   
  335/593  microscope     10.5 КБ q78              955 c   
  336/593  midnight       16.9 КБ q78              959 c   
  337/593  milk           4.7 КБ q78               959 c   
  338/593  miller         18.4 КБ q78              964 c   
  339/593  minute         нет картинки             966 c   
  340/593  money          25.0 КБ q78              970 c   
  341/593  month          34.2 КБ q78              975 c   
  342/593  morning        12.9 КБ q78              975 c   
  343/593  motor          нет картинки             977 c   
  344/593  motorcycle     25.0 КБ q78              981 c   
  345/593  mountain       21.2 КБ q78              981 c   
  346/593  movie          нет картинки             982 c   
  347/593  mozzarella     6.9 КБ q78               986 c   
  348/593  mud            33.1 КБ q78              991 c   
  349/593  museum         31.9 КБ q78              991 c   
  350/593  nature         9.9 КБ q78               995 c   
  351/593  navigation     19.0 КБ q78              999 c   
  352/593  necklace       20.0 КБ q78             1004 c   
  353/593  neighborhood   31.7 КБ q78             1008 c   
  354/593  nest           31.9 КБ q78             1012 c   
  355/593  night          17.4 КБ q78             1012 c   
  356/593  nightclub      21.4 КБ q78             1017 c   
  357/593  noon           нет картинки            1018 c   
